Timestamp,Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Which row is more realistic. ,"Which row is more diverse 
(having variety of images like gender, age, hairstyle, glasses, nationality, etc.).",Please leave any comment for previous your choices if possible. What makes you think unchosen rows are less realistic.,Have you heard of Generative adversarial network (GAN)?
8/10/2022 20:04:55,A,B,B,A,A,A,A,A,B,A,B,A,A,A,B,B,B,B,B,A,B,B,B,B,"Actually, they look like a picture from a real person photo, but the chosen photo is looks more realistic as from the light/shade in the photo and detail of the person face.",No
8/10/2022 20:41:45,B,B,B,B,B,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,B,B,Most of the images look great but some of them looks a bit weird in some part like the angle of the nose or eyes in 1/3 images,Yes
8/10/2022 22:03:50,B,B,B,B,A,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,B,B,A,A,Less vivid pictures,No
8/10/2022 22:06:46,A,B,B,A,A,A,B,A,A,B,B,B,B,A,B,A,A,A,B,A,B,B,B,A,3 - faces are in the angle,No
8/11/2022 2:28:57,A,B,B,B,A,A,A,B,A,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,"about the background, face detail and color",No
8/11/2022 2:36:05,B,A,B,A,A,B,A,B,B,A,B,A,A,A,A,B,B,B,B,A,A,B,A,B,They look unreal,No
8/11/2022 3:20:21,B,B,B,B,A,A,B,B,A,A,B,B,A,A,A,B,B,A,A,A,A,B,A,A,Distorted face or distorted background,Yes
8/11/2022 4:21:39,A,B,B,B,B,A,A,B,B,A,A,A,A,A,B,A,B,B,A,A,B,B,A,B,-,Yes
8/11/2022 6:10:42,A,A,B,A,B,B,B,B,A,A,B,B,B,A,A,A,B,B,B,A,A,B,B,B,Face proportions,No
8/11/2022 8:25:32,A,A,A,B,B,A,A,B,B,A,B,A,A,B,A,B,B,A,A,A,A,B,B,A,Some are Model look,No
8/11/2022 11:25:46,A,B,B,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,B,A,B,B,A,Different angle of face looks more realistic ,No
8/11/2022 12:15:56,B,B,B,A,A,A,B,A,A,B,B,B,A,A,A,B,B,B,A,A,A,B,B,B,"Plain background, skin too smooth",No
8/15/2022 23:48:00,B,B,A,B,A,B,B,B,B,A,B,A,B,A,B,A,A,B,B,A,B,B,B,A,Bearly identify the set of real pictures and GANs,Yes
8/16/2022 1:50:46,B,B,B,B,A,B,B,B,A,A,B,B,A,B,A,B,B,A,A,A,B,B,B,B,Abnormal face & background ,No
8/16/2022 2:26:33,B,B,A,B,A,A,B,B,A,A,B,A,B,A,A,B,B,B,A,A,A,B,A,B,chosen rows are more realistic,No
8/16/2022 2:40:40,A,B,A,A,A,A,B,B,B,B,B,A,B,A,A,B,A,A,B,A,A,B,B,A,The other row looks like they have been taken on a studio or with good photograph its look like they're untouchable or maybe they're a famous people btw the second row is suit my suit my choice than the other,No
8/16/2022 2:48:06,B,B,A,B,B,B,A,A,B,B,B,B,A,A,B,B,A,B,B,B,A,A,A,A,1,No
8/16/2022 2:58:31,A,B,B,A,B,B,A,A,B,A,A,B,A,A,B,B,B,B,B,B,B,B,A,A,-,No
8/16/2022 3:30:10,A,B,A,B,B,A,A,B,A,B,B,B,B,A,A,B,B,A,A,B,A,B,B,B,Their faces has rational proportion,No
8/16/2022 3:31:02,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A,A,B,A,A,B,-,No
8/16/2022 3:51:49,B,A,B,B,A,B,B,A,B,A,B,A,B,A,B,A,A,B,A,B,A,A,B,B,-,No
8/16/2022 3:59:21,A,A,B,A,B,B,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,B,-,No
8/16/2022 4:02:48,A,B,B,A,B,A,A,B,B,A,B,B,A,A,A,A,A,B,A,A,A,B,B,B,Smile is too strange.,No
8/16/2022 5:02:10,A,B,A,B,B,A,B,A,A,B,B,A,A,B,A,B,A,B,A,B,B,A,B,A,.,No
8/16/2022 5:22:50,B,A,B,A,A,A,B,B,A,B,B,B,A,A,A,B,B,A,A,A,B,B,B,B,They are just straight face and smile while others  are in different angles.l,No
8/16/2022 5:55:38,B,A,A,B,B,A,A,A,B,A,B,A,B,A,A,B,A,B,A,A,B,B,A,A,..,Yes
8/16/2022 8:43:13,B,A,B,A,B,A,A,A,A,A,B,B,B,A,A,A,B,A,A,A,B,B,B,B,The proportion of the faces is off.,No
8/16/2022 8:47:16,A,B,A,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,B,B,The unselected rows have similar realities. But I mainly choose from a variety of ages. and choose from images that look more natural.,No
8/16/2022 8:49:07,B,B,B,B,A,B,B,B,B,A,B,B,A,A,A,B,B,B,A,A,B,B,B,A,More diversity more realistic?,No
8/16/2022 9:55:19,B,B,B,B,A,A,A,B,A,B,B,A,B,A,B,B,B,A,B,A,B,B,B,A,It’s seem like most of them made by computer,No
8/20/2022 4:07:40,B,A,B,B,B,B,A,A,A,B,B,B,A,B,A,B,B,B,A,A,B,B,A,A,Some of defect rendering image ,No
8/24/2022 14:57:02,A,A,B,B,B,B,A,A,A,A,B,B,A,A,A,A,B,B,A,A,B,B,B,B,i used shadows a fair number of times,Yes
8/24/2022 14:59:11,A,A,A,A,B,B,A,B,A,A,B,A,A,A,B,B,A,B,B,A,B,B,A,B,"Sometimes the eyes don't look right or there are artifacts on the faces.  For some questions, I wanted an option C that was ""not sure"" because it was hard to say which was more realistic.  Also, using the word ""diverse"" in the other question basically makes me only think about race.  (If we said ""varied,"" i would probably think about more categories.) ",Yes
8/24/2022 15:02:41,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,B,B,B,A,A,A,B,B,B,"Subtle differences - facial shapes, mismatching shadows, etc.",No
8/24/2022 15:04:42,A,B,A,B,B,A,A,B,B,A,B,B,A,A,B,A,B,B,B,A,B,B,A,B,"3 is definitely the least diverse but look the most believable. 2 has some artifacts (distorted face, male with female looking hair).  1 seems to strike the best balance between realism and diversity.",Yes
8/24/2022 15:04:56,B,A,B,A,B,B,A,B,B,B,B,B,A,A,B,B,B,B,B,A,B,B,B,B, ,Yes
8/24/2022 15:06:43,A,A,B,A,A,A,A,A,B,B,B,B,B,A,A,A,B,B,B,A,B,A,B,B,the light reflection on the face; background being blurry; less contrast in the face and background,Yes
8/24/2022 15:12:29,A,A,A,A,B,B,A,B,B,A,B,A,A,A,A,B,A,B,B,A,B,B,B,B,"Slight aberrations in the face, especially the eyes.",Yes
8/24/2022 15:37:16,A,B,B,A,B,A,A,B,B,A,B,A,B,A,A,B,B,B,A,B,B,B,B,A, ,Yes
8/24/2022 15:40:35,B,B,B,A,A,A,A,B,A,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,"Visual artifacts ('molten' glasses, strange head shapes etc.)",Yes
8/24/2022 15:42:17,A,A,A,B,B,A,B,B,B,A,A,B,A,B,A,B,A,B,A,A,B,B,B,B,various aberrations in face shape or expression ,Yes
8/24/2022 15:45:03,A,B,B,A,B,A,A,A,A,B,A,A,A,A,B,B,B,B,A,A,B,B,B,B,"Background inconsistencies (like a background that's supposed to look realistic but couldn't be made sense of), facial features that clearly didn't look like a naturally occurring variation (like a baby's tongue was split and superimposed on their teeth). ",Yes
8/24/2022 15:46:50,A,B,A,B,B,A,B,B,A,A,B,B,A,A,A,A,B,B,B,A,A,A,A,B,"Most of them are very realistic and it was just some very minor details that would throw me off about some of the faces, really hard to explain what exactly.",Yes
8/24/2022 16:09:17,A,B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,B,A,B,A,B,B,B,B,"It was some times a 50/50 as with only 3 images and 5+ characteristics.
1. Realism:   Artifacts/oddities on some photos (column 1 row 2, 3rd image chin)
                      Column 1, row 2, 3rd image looked photo shopped/model/makeup.
                      artifact right side of cheek (column 2, row 6, 3rd photo)
                      Various with oddities on forehead or another with another chin.
                      Others light/darkness background wash out features.
                      (while realistic to have photos be washed out, it lowers the realism)
2. Diversity:  
    Missing or under represented: Chinese, Japanese, South Korean, Indian, South American, Aboriginal Australian, Filipino, Middle East, and variations in each country.
    Also even if there was diversity most felt American or European.  
      - Think of a rice patty worker in remote Nepal, or fisherman small island in the Philippines.   Tibetan, Russia, Or think of people outside the city of Nigera, Kenya or Zimbawai versus Egyptian in Africa, or a city person in the US versus a farmer.
        (there are facial features from hard work, years of exposure to elements).
        Or Northern India, versus central India versus southern India (facial features and color vary), but their careers also vary peoples look (being weathered, areas of strength), weight.  I think most of these people were not over weight.  Perhaps 4-5 based on facial features.
       Chinese there are differences in regions and careers also.  (I think perhaps 3 Chinese)
       No Japanese or South Korean.  No Arabs (perhaps 1-2  mixed race) and there are a variety of Arabs/Middle Eastern decent. Middle East from Israel to Pakistan vary (and Pakistan/India overlap in looks.)  No Punjabi's or Dravidian's nor North Eastern Indians, only perhaps 2 other Indians.

And based on world wide population: China, India should be majority.
If this is for the US Population: Only one African male. 1-2 African (American/ and one probable South American female girl with hat) females.",Yes
8/24/2022 16:15:06,A,A,A,B,B,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,B,B,B,B,Flaws in the image. Distortions. Background. ,No
8/24/2022 16:22:04,A,A,B,A,A,B,B,B,A,A,B,A,A,A,B,B,B,B,A,A,B,B,B,B,They looked more pixelated or the features didn't match up,Yes
8/24/2022 16:35:55,A,A,B,B,B,A,A,A,B,A,B,B,A,A,A,A,A,B,A,A,B,B,B,B,"Artifacts in images, You could see where it had tried to integrate a microphone into the cheek of one. White male, set 1. A few faces were too symmetrical, Obvious bias towards Jon Benay Ramsey in blond girl image set 1.  Nice work on the majority though!!",Yes
8/24/2022 16:40:28,A,B,B,A,B,A,B,B,B,A,A,A,A,A,A,B,B,B,A,A,B,B,B,B,Small flaws in the face really stood out to me and usually caused me to vote the other row as more realistic.,No
8/24/2022 20:27:38,A,A,B,B,B,A,A,A,A,A,B,B,A,B,A,B,A,B,A,A,A,A,A,B,"Some artifacts from the networks are hard to ignore, others easier to forgive. ",Yes
8/25/2022 4:48:23,A,A,B,A,A,B,B,B,B,B,A,A,A,A,B,B,B,B,A,A,B,B,B,B,"I will refer to images by model, row, and column

So Model 1, row 4, column 3 is a surprised baby wearing a pink shirt.

Things that made things look less realistic:

Things that just wouldn't exist in real life:

1,6,1 just had a part of his face that sticks out in a thin, perfectly horizontal, rectangle.

3,7,1 has a very prominent part of his forehead which looks odd. It's odd both in the sense that people don't normally have prominent features on their foreheads, and because to me it just doesn't look like a photo of anything. If you said it was model clay, I would say that it looks like it has no depth, and that a picture of model clay wouldn't look like that.
The first part, prominent forehead feature, is possible in people even if rare. The second bit isn't.

Faces that are too ""perfect"".any faces look like air brushed photos to me. So they look like images I'm sure you'd often find of ""real people"" in various context, but they also look like someone did heavy handed air brushing and I would expect that a more wrinkled, less smooth gradient, image exists somewhere which is the ""actual original photo"".",Yes
8/25/2022 8:08:50,B,A,B,A,B,B,A,A,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,Happy to help,Yes
8/25/2022 14:54:46,A,B,B,A,A,B,B,B,A,A,B,B,B,A,B,A,B,B,A,A,A,B,B,B,"They all looked real to me, which is terrifying to me to know that they are not real.",No
8/25/2022 15:01:49,A,B,B,B,A,A,B,B,B,A,B,A,B,A,A,B,B,A,B,A,B,B,B,A,straight face photo,No
8/25/2022 15:06:33,B,A,A,B,B,A,A,B,A,A,B,B,A,A,A,A,B,B,B,A,A,B,A,B,Row 2 is least realistic mainly due to faces of most kids. Some faces of the children seems to be on adult bodies. Most adults look fine.,No
8/25/2022 15:22:12,B,B,B,B,B,A,A,B,A,A,B,A,B,A,A,A,B,A,A,A,A,B,B,B,1) The facial expressions as a whole doesn’t link e.g. eyes vs smile or wrinkles. The people look unnatural  2) The two eyes seem to look at different directions ,No
8/25/2022 16:51:12,A,B,B,A,B,A,A,B,A,B,B,A,A,B,A,B,B,A,A,B,B,A,B,A,Too many characters in one,No
8/25/2022 17:29:19,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,B,B,A,B,A,A,B,A,B,2,No
8/26/2022 1:30:09,A,A,B,B,B,B,A,B,A,B,B,A,B,A,A,A,B,B,A,A,B,B,A,B,Distorted or uncommon facial features,No
8/26/2022 12:34:05,A,B,B,B,A,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A,A,A,B,A,"position of the face, emotion",No
8/27/2022 5:40:59,A,A,B,B,B,B,A,B,B,B,A,B,B,A,A,B,A,B,A,A,A,B,B,A,When it seems like the picture have been edited through app.,No
8/27/2022 16:08:37,B,B,B,B,B,B,B,B,B,A,B,A,A,A,A,B,B,B,B,A,B,B,A,A,Shape of face,No
8/27/2022 17:31:59,A,B,A,B,B,A,A,B,B,B,B,B,B,A,B,A,B,B,A,A,B,B,A,B,"The skin color and their appearance seems to be edited. Looking at the categorised groups, it seems that the first group is less realistic while the third group seems more realistic.",No
8/28/2022 2:29:13,A,A,B,A,A,A,A,B,B,A,B,B,B,A,A,A,A,A,B,A,B,B,B,B,-,No
8/28/2022 7:57:08,A,B,B,A,B,A,B,B,A,A,B,B,B,A,A,B,B,B,B,A,B,B,A,A,Face doesn't match the head,Yes
8/28/2022 8:41:34,A,B,B,B,B,A,A,B,A,B,B,B,A,A,A,B,B,B,A,A,B,B,A,B,"Some add spots on the face. Ex, children face with adult hair, ",No
8/28/2022 10:08:40,A,B,A,B,B,A,A,B,A,A,B,B,B,A,B,A,B,A,A,A,A,A,A,A,Feel like the fake one ppl smile and acting weirdly.,Yes
8/28/2022 10:30:52,B,B,B,A,A,A,B,A,B,A,A,B,B,A,A,B,A,A,B,A,B,B,B,B,Few freckle on the face  ,No
8/28/2022 15:05:23,A,B,B,A,B,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,B,B,A,"Features not fitting the face forms, features commonly found in different birth genders put together",No
8/28/2022 16:43:30,A,A,B,B,B,A,A,B,B,A,B,A,A,A,B,A,A,B,B,A,B,B,B,A,Background / abnormal accessories,Yes
8/29/2022 3:38:58,A,A,A,A,B,A,B,B,A,A,B,B,A,A,B,B,A,B,A,A,B,B,B,B,Hair and wrinkles ,No
